,time (in sec)
ytd_model,0.0
my_GCN,39.321396350860596
my_GCN_with_edge_attr,39.86030626296997
my_GAT,49.69715070724487
my_GAT_with_edge_attr,76.13663697242737
GraphSAGE,10.90173069636027
LinearRegression,0.106263001759847
MLP,0.8205403486887614
RandomForest,19.724695285161335
