,time (in sec)
ytd_model,0.0
GCN,41.565141677856445
GCN_with_edge_attr,42.35898772875468
GAT,58.543853998184204
GAT_with_edge_attr,59.05681165059408
GraphSAGE,43.933319648106895
LinearRegression,0.14272626241048178
MLP,1.0971399148305256
RandomForest,38.67450372378031
