,time (in sec)
ytd_model,0.0
my_GCN,113.81654032071431
my_GCN_with_edge_attr,109.9044903119405
my_GAT,234.6702742576599
my_GAT_with_edge_attr,315.7953453858693
my_GraphSAGE,94.83528161048889
GCN,59.09143805503845
GCN_with_edge_attr,60.31604162851969
GAT,97.24847944577535
GAT_with_edge_attr,101.68225940068562
GraphSAGE,59.03387967745463
LinearRegression,0.17212271690368652
MLP,1.3430984020233154
RandomForest,39.20101737976074
